Person,Job Title,Fees,Contact Info,Address,Recommendation,Gender,Hospital,Email,Experience
Douglas Hawkins,Urologic Surgeon,$911 ,71-618455,Nabatieh,3,Male,Al Najda,douglas.hawkins@gmail.com,22
Renee Lane,Cardiothoracic Surgeon,"$1,260 ",81-883953,Tripoli,9,Female,General Hospital,renee.lane@gmail.com,26
Timothy Jones,Urologic Surgeon,$476 ,81-522428,Jounieh,1,Male,General Hospital,timothy.jones@gmail.com,1
Samantha Peterson,Vascular Surgeon,$551 ,81-533308,Tyre,3,Female,General Hospital,samantha.peterson@gmail.com,13
Lisa Callahan,Urologic Surgeon,"$1,283 ",81-861321,Jounieh,2,Female,General Hospital,lisa.callahan@gmail.com,15
Kim Vaughn,Cardiothoracic Surgeon,"$1,308 ",76-360013,Beirut,10,Male,AUBMC,kim.vaughn@gmail.com,35
William Sweeney,Urologic Surgeon,"$1,131 ",71-208266,Nabatieh,1,Male,Al Najda,william.sweeney@gmail.com,31
Karl Green,Oncologic Surgeon,"$1,298 ",81-602159,Byblos,2,Male,Saint Georges,karl.green@gmail.com,11
James Garrett,Cardiothoracic Surgeon,"$1,145 ",76-208600,Tripoli,8,Male,General Hospital,james.garrett@gmail.com,6
Melissa Rodriguez,Vascular Surgeon,$825 ,81-675471,Aley,0,Female,Mount Lebanon,melissa.rodriguez@gmail.com,17
Ryan Burgess,Plastic Surgeon,$798 ,76-497283,Baalbek,5,Male,Al Zahraa,ryan.burgess@gmail.com,23
Joshua Harrison,Pediatric Surgeon,$361 ,81-361876,Nabatieh,10,Male,Hammoud Hospital,joshua.harrison@gmail.com,26
Christopher Rhodes,General Surgeon,$693 ,81-785124,Zahle,4,Male,General Hospital,christopher.rhodes@gmail.com,35
Richard Murray,Vascular Surgeon,$564 ,76-591573,Tripoli,3,Male,General Hospital,richard.murray@gmail.com,13
Kevin Daniels,Urologic Surgeon,$886 ,76-278308,Aley,0,Male,Mount Lebanon,kevin.daniels@gmail.com,29
Alison Adams,Pediatric Surgeon,"$1,452 ",81-996053,Beirut,1,Female,Najjar,alison.adams@gmail.com,4
Phillip Mullins,General Surgeon,"$1,359 ",81-592974,Tyre,7,Male,General Hospital,phillip.mullins@gmail.com,17
Rebecca Stevens,Neurosurgeon,"$1,225 ",81-871735,Beirut,3,Female,CMC,rebecca.stevens@gmail.com,19
Dustin Edwards,Oncologic Surgeon,"$1,253 ",81-990317,Tripoli,10,Male,General Hospital,dustin.edwards@gmail.com,18
Kristina Green,General Surgeon,"$1,306 ",76-416603,Nabatieh,7,Female,Al Najda,kristina.green@gmail.com,18
Pamela Reese,General Surgeon,$808 ,81-465070,Beirut,3,Female,AUBMC,pamela.reese@gmail.com,31
Paula White,Neurosurgeon,$939 ,71-319158,Nabatieh,4,Female,Al Najda,paula.white@gmail.com,27
Sandra Whitaker,Vascular Surgeon,$977 ,76-521315,Baalbek,10,Female,Dar El Amal,sandra.whitaker@gmail.com,4
Alicia Frank,Pediatric Surgeon,"$1,356 ",81-618625,Sidon,6,Female,General Hospital,alicia.frank@gmail.com,16
Karen Bailey,General Surgeon,$803 ,76-174886,Baalbek,10,Female,Al Zahraa,karen.bailey@gmail.com,3
Kenneth Williams,Urologic Surgeon,$885 ,81-524702,Aley,6,Male,Aley Medical Center,kenneth.williams@gmail.com,6
Charles Johnson,Urologic Surgeon,"$1,201 ",81-909511,Tyre,5,Male,General Hospital,charles.johnson@gmail.com,27
Lauren Williams,Cardiothoracic Surgeon,$330 ,81-629229,Zahle,9,Female,General Hospital,lauren.williams@gmail.com,25
Autumn Navarro,Urologic Surgeon,$885 ,71-508240,Zahle,2,Male,General Hospital,autumn.navarro@gmail.com,24
Elizabeth Spears,Pediatric Surgeon,$529 ,81-418576,Tripoli,0,Female,General Hospital,elizabeth.spears@gmail.com,5
Manuel Martinez,Neurosurgeon,$995 ,76-369696,Byblos,6,Male,Notre Dame de Secours,manuel.martinez@gmail.com,18
Sally Sandoval,Oncologic Surgeon,$545 ,81-345095,Zahle,9,Female,General Hospital,sally.sandoval@gmail.com,25
Michelle Allen,Orthopedic Surgeon,$987 ,71-486144,Byblos,7,Female,Notre Dame de Secours,michelle.allen@gmail.com,9
Barbara Newton,Oncologic Surgeon,"$1,015 ",76-220195,Jounieh,3,Female,General Hospital,barbara.newton@gmail.com,25
Elizabeth Smith,Oncologic Surgeon,"$1,455 ",71-887777,Nabatieh,4,Female,Al Najda,elizabeth.smith@gmail.com,15
Joseph Jones,Cardiothoracic Surgeon,"$1,485 ",81-607360,Tyre,3,Male,General Hospital,joseph.jones@gmail.com,17
Bryan Sloan,Cardiothoracic Surgeon,$405 ,71-411952,Byblos,6,Male,Saint Georges,bryan.sloan@gmail.com,22
Tabitha Petty,Pediatric Surgeon,$560 ,81-892695,Nabatieh,5,Female,Al Najda,tabitha.petty@gmail.com,19
Jeffrey Anderson,Plastic Surgeon,$613 ,76-900395,Aley,1,Male,Aley Medical Center,jeffrey.anderson@gmail.com,32
Faith Love,Urologic Surgeon,$813 ,81-837953,Sidon,4,Female,General Hospital,faith.love@gmail.com,12
Lori Daniel,Vascular Surgeon,"$1,418 ",71-934366,Beirut,7,Female,Rafic Hariri,lori.daniel@gmail.com,26
Jason Riley,Oncologic Surgeon,$861 ,71-320468,Tyre,0,Male,General Hospital,jason.riley@gmail.com,1
Caleb Haney,Vascular Surgeon,$614 ,71-808261,Tyre,6,Male,General Hospital,caleb.haney@gmail.com,30
Sarah Kelley,Plastic Surgeon,$589 ,81-863630,Jounieh,4,Female,General Hospital,sarah.kelley@gmail.com,19
Lisa Brock,General Surgeon,"$1,226 ",71-619980,Byblos,3,Female,Notre Dame de Secours,lisa.brock@gmail.com,29
Andres Ramos,General Surgeon,"$1,139 ",71-747401,Beirut,3,Male,Rafic Hariri,andres.ramos@gmail.com,15
Nicole Bentley,General Surgeon,$866 ,71-727293,Aley,3,Male,Aley Medical Center,nicole.bentley@gmail.com,29
Eric Nelson,Oncologic Surgeon,$418 ,76-783101,Nabatieh,2,Male,Hammoud Hospital,eric.nelson@gmail.com,25
Anita Rodriguez,Cardiothoracic Surgeon,"$1,151 ",76-661910,Zahle,1,Female,General Hospital,anita.rodriguez@gmail.com,8
Molly Pratt,Oncologic Surgeon,$540 ,71-342184,Tyre,1,Female,General Hospital,molly.pratt@gmail.com,6
Jerry Jackson,Orthopedic Surgeon,$481 ,76-225011,Tyre,6,Male,General Hospital,jerry.jackson@gmail.com,21
Dennis Sanchez,Vascular Surgeon,$470 ,76-382667,Sidon,6,Male,General Hospital,dennis.sanchez@gmail.com,14
Amber Chavez,Plastic Surgeon,"$1,018 ",71-887059,Zahle,8,Female,General Hospital,amber.chavez@gmail.com,8
Larry Bailey,Cardiothoracic Surgeon,$968 ,71-877954,Aley,5,Male,Mount Lebanon,larry.bailey@gmail.com,19
Susan Schroeder,Pediatric Surgeon,$338 ,71-500742,Beirut,4,Female,AUBMC,susan.schroeder@gmail.com,12
Daniel Bowers,Plastic Surgeon,$937 ,81-265027,Tyre,3,Male,General Hospital,daniel.bowers@gmail.com,12
Kristy Morris,Pediatric Surgeon,"$1,219 ",81-642871,Aley,7,Female,Mount Lebanon,kristy.morris@gmail.com,30
David Gray,Urologic Surgeon,$365 ,71-414506,Jounieh,10,Male,General Hospital,david.gray@gmail.com,34
Brenda Clark,Plastic Surgeon,"$1,356 ",81-288549,Beirut,4,Female,AUBMC,brenda.clark@gmail.com,31
Hannah Hood,Pediatric Surgeon,$343 ,76-856796,Baalbek,10,Female,Dar El Amal,hannah.hood@gmail.com,9
Charles Ramirez,Pediatric Surgeon,$823 ,76-852747,Tripoli,5,Male,General Hospital,charles.ramirez@gmail.com,10
Janet Hart,Urologic Surgeon,"$1,369 ",76-110517,Byblos,8,Female,Notre Dame de Secours,janet.hart@gmail.com,14
Sandra Bass,Oncologic Surgeon,"$1,317 ",76-429436,Nabatieh,4,Female,Al Najda,sandra.bass@gmail.com,27
Cindy Mueller,Cardiothoracic Surgeon,"$1,459 ",81-272839,Aley,10,Female,Mount Lebanon,cindy.mueller@gmail.com,33
Mikayla Tucker,General Surgeon,$567 ,71-128495,Tripoli,9,Female,General Hospital,mikayla.tucker@gmail.com,29
William Parrish,Pediatric Surgeon,"$1,345 ",76-530454,Tyre,8,Male,General Hospital,william.parrish@gmail.com,17
Kaitlyn Marquez,General Surgeon,$301 ,71-778899,Tripoli,2,Female,General Hospital,kaitlyn.marquez@gmail.com,17
Alfred Cantu,General Surgeon,"$1,141 ",71-735122,Baalbek,1,Male,Dar El Amal,alfred.cantu@gmail.com,8
Victoria Chapman,Cardiothoracic Surgeon,"$1,377 ",76-179306,Aley,9,Female,Mount Lebanon,victoria.chapman@gmail.com,22
Hannah Wilson,Plastic Surgeon,"$1,258 ",71-278487,Jounieh,8,Female,General Hospital,hannah.wilson@gmail.com,5
Jonathan Glover,Neurosurgeon,$850 ,76-609729,Baalbek,7,Male,Al Zahraa,jonathan.glover@gmail.com,12
Timothy Taylor,Oncologic Surgeon,$992 ,76-907028,Tyre,8,Male,General Hospital,timothy.taylor@gmail.com,18
Ashley Stanton,Orthopedic Surgeon,$593 ,71-465574,Aley,8,Female,Mount Lebanon,ashley.stanton@gmail.com,1
Derek Williamson,Orthopedic Surgeon,$726 ,81-601185,Baalbek,4,Male,Al Zahraa,derek.williamson@gmail.com,10
Kayla Turner,Pediatric Surgeon,$930 ,81-385155,Byblos,0,Female,Saint Georges,kayla.turner@gmail.com,26
Billy Luna,Cardiothoracic Surgeon,$986 ,76-485784,Tyre,4,Male,General Hospital,billy.luna@gmail.com,1
Dawn Manning,Plastic Surgeon,$868 ,81-943527,Byblos,6,Male,Saint Georges,dawn.manning@gmail.com,13
April Roberts,Orthopedic Surgeon,"$1,248 ",81-567426,Baalbek,1,Male,Al Zahraa,april.roberts@gmail.com,20
Kathryn Wells,Neurosurgeon,$320 ,76-762742,Jounieh,8,Female,General Hospital,kathryn.wells@gmail.com,28
Shelby Carter,Pediatric Surgeon,"$1,202 ",76-530280,Jounieh,2,Male,General Hospital,shelby.carter@gmail.com,32
Sandra Wright,Urologic Surgeon,"$1,001 ",76-231213,Beirut,5,Female,Rafic Hariri,sandra.wright@gmail.com,3
Amanda Hall,Plastic Surgeon,$381 ,81-868880,Jounieh,8,Female,General Hospital,amanda.hall@gmail.com,7
Holly Garrett,Urologic Surgeon,$508 ,81-359048,Zahle,2,Female,General Hospital,holly.garrett@gmail.com,25
John Villanueva,Urologic Surgeon,$726 ,76-728984,Tyre,0,Male,General Hospital,john.villanueva@gmail.com,5
William Weber,Oncologic Surgeon,$802 ,76-938137,Zahle,9,Male,General Hospital,william.weber@gmail.com,25
Priscilla Anderson,General Surgeon,$495 ,81-477757,Nabatieh,2,Female,Al Najda,priscilla.anderson@gmail.com,34
Linda Bowman,Pediatric Surgeon,$824 ,76-782941,Zahle,5,Female,General Hospital,linda.bowman@gmail.com,31
Courtney Jenkins,Orthopedic Surgeon,$781 ,71-445078,Baalbek,3,Female,Dar El Amal,courtney.jenkins@gmail.com,7
Cynthia Maxwell,General Surgeon,"$1,489 ",76-338546,Baalbek,9,Female,Al Zahraa,cynthia.maxwell@gmail.com,23
Jonathan Griffin,Plastic Surgeon,$521 ,81-833782,Tyre,10,Male,General Hospital,jonathan.griffin@gmail.com,18
Jennifer Baldwin,Oncologic Surgeon,$472 ,71-430674,Jounieh,7,Female,General Hospital,jennifer.baldwin@gmail.com,15
Bradley Watson,Orthopedic Surgeon,"$1,182 ",81-771280,Jounieh,0,Male,General Hospital,bradley.watson@gmail.com,32
Felicia Miranda,Plastic Surgeon,$802 ,71-921780,Beirut,6,Female,CMC,felicia.miranda@gmail.com,17
Amanda Maxwell,Oncologic Surgeon,$987 ,71-306871,Baalbek,6,Female,Dar El Amal,amanda.maxwell@gmail.com,35
Cristian Galvan,Neurosurgeon,"$1,061 ",81-979426,Beirut,1,Male,CMC,cristian.galvan@gmail.com,30
Benjamin Mitchell,Vascular Surgeon,$986 ,71-141099,Zahle,0,Male,General Hospital,benjamin.mitchell@gmail.com,25
Jacob Stewart,Plastic Surgeon,"$1,265 ",76-581356,Aley,5,Male,Aley Medical Center,jacob.stewart@gmail.com,2
Debra Wood,General Surgeon,"$1,141 ",81-709859,Jounieh,3,Female,General Hospital,debra.wood@gmail.com,6
Steven Hernandez,Oncologic Surgeon,$837 ,76-995439,Beirut,8,Male,CMC,steven.hernandez@gmail.com,16
Bobby Salinas,Urologic Surgeon,"$1,469 ",76-200326,Baalbek,9,Male,Al Zahraa,bobby.salinas@gmail.com,27
Amy Johnson,Cardiothoracic Surgeon,$935 ,71-218499,Sidon,8,Female,General Hospital,amy.johnson@gmail.com,4
Isaiah Nichols,Plastic Surgeon,"$1,175 ",71-463364,Tripoli,8,Male,General Hospital,isaiah.nichols@gmail.com,25
Devin Greene,Cardiothoracic Surgeon,$384 ,76-178962,Jounieh,10,Male,General Hospital,devin.greene@gmail.com,1
Christina Harrison,Orthopedic Surgeon,"$1,022 ",71-279778,Byblos,7,Female,Saint Georges,christina.harrison@gmail.com,19
Robert Armstrong,Plastic Surgeon,"$1,193 ",71-490761,Baalbek,1,Male,Al Zahraa,robert.armstrong@gmail.com,9
Samantha Hendrix,Orthopedic Surgeon,$561 ,81-333667,Tyre,2,Female,General Hospital,samantha.hendrix@gmail.com,27
Joseph Moon,Vascular Surgeon,"$1,327 ",81-289868,Zahle,2,Male,General Hospital,joseph.moon@gmail.com,19
Leslie Collins,Cardiothoracic Surgeon,$395 ,71-575056,Byblos,1,Female,Saint Georges,leslie.collins@gmail.com,4
Leslie Farrell,Neurosurgeon,$530 ,71-893244,Tyre,0,Female,General Hospital,leslie.farrell@gmail.com,12
Annette Johnson,Orthopedic Surgeon,"$1,266 ",81-884510,Jounieh,4,Female,General Hospital,annette.johnson@gmail.com,17
Patrick Daniel,General Surgeon,$524 ,71-933955,Tyre,7,Male,General Hospital,patrick.daniel@gmail.com,13
Jennifer Charles,Oncologic Surgeon,$524 ,81-719356,Aley,8,Female,Aley Medical Center,jennifer.charles@gmail.com,8
Carla Johnson,Pediatric Surgeon,"$1,449 ",71-600085,Tripoli,3,Female,General Hospital,carla.johnson@gmail.com,4
Alicia Walker,Orthopedic Surgeon,"$1,491 ",71-755839,Tyre,4,Female,General Hospital,alicia.walker@gmail.com,32
Elaine Adams,Urologic Surgeon,"$1,395 ",76-266322,Byblos,3,Female,Saint Georges,elaine.adams@gmail.com,2
Joshua Walters,Urologic Surgeon,$928 ,81-383911,Jounieh,9,Male,General Hospital,joshua.walters@gmail.com,22
Mitchell Carroll,Vascular Surgeon,"$1,421 ",81-858664,Tripoli,2,Male,General Hospital,mitchell.carroll@gmail.com,33
Kara Murray,Oncologic Surgeon,$536 ,81-732024,Zahle,6,Female,General Hospital,kara.murray@gmail.com,4
Rebecca Reed,Oncologic Surgeon,$850 ,76-754709,Aley,7,Female,Mount Lebanon,rebecca.reed@gmail.com,22
Lisa Vazquez,Orthopedic Surgeon,"$1,333 ",81-845974,Beirut,9,Female,Najjar,lisa.vazquez@gmail.com,10
Judy Diaz,Neurosurgeon,$585 ,71-265755,Zahle,10,Female,General Hospital,judy.diaz@gmail.com,4
Charles Robinson,Pediatric Surgeon,"$1,223 ",71-350946,Aley,4,Male,Mount Lebanon,charles.robinson@gmail.com,24
Michael Murphy,Plastic Surgeon,"$1,219 ",81-215287,Tyre,10,Male,General Hospital,michael.murphy@gmail.com,19
Monica Bishop,Plastic Surgeon,$361 ,71-278425,Baalbek,10,Female,Dar El Amal,monica.bishop@gmail.com,2
Sharon Newton,Vascular Surgeon,$898 ,71-884114,Tripoli,8,Male,General Hospital,sharon.newton@gmail.com,23
Edward Blackwell,Urologic Surgeon,$792 ,76-952479,Byblos,6,Male,Notre Dame de Secours,edward.blackwell@gmail.com,32
Chad Rowe,Vascular Surgeon,$489 ,71-964821,Byblos,7,Male,Notre Dame de Secours,chad.rowe@gmail.com,6
Christine Patel,General Surgeon,$490 ,76-764559,Tyre,0,Female,General Hospital,christine.patel@gmail.com,14
Brenda Patel,Orthopedic Surgeon,$921 ,81-814829,Jounieh,4,Female,General Hospital,brenda.patel@gmail.com,16
Richard Jones,Plastic Surgeon,$317 ,81-290411,Beirut,0,Male,Najjar,richard.jones@gmail.com,19
Brooke Erickson,General Surgeon,"$1,321 ",81-355337,Byblos,3,Female,Saint Georges,brooke.erickson@gmail.com,21
Renee Simmons,Neurosurgeon,"$1,119 ",71-222766,Sidon,10,Female,General Hospital,renee.simmons@gmail.com,22
Jamie Sims,Neurosurgeon,"$1,340 ",71-833557,Baalbek,6,Female,Dar El Amal,jamie.sims@gmail.com,12
William Mccoy,Neurosurgeon,$886 ,71-635087,Beirut,9,Male,CMC,william.mccoy@gmail.com,16
Maurice Brown,Plastic Surgeon,$888 ,76-965477,Baalbek,8,Male,Dar El Amal,maurice.brown@gmail.com,1
Johnathan Mcdaniel,General Surgeon,"$1,008 ",81-856766,Zahle,3,Male,General Hospital,johnathan.mcdaniel@gmail.com,4
Brent Butler,Pediatric Surgeon,$631 ,81-143992,Sidon,7,Male,General Hospital,brent.butler@gmail.com,23
Cindy Ware,Pediatric Surgeon,$482 ,71-945924,Byblos,3,Female,Saint Georges,cindy.ware@gmail.com,24
Brenda Smith,Pediatric Surgeon,$386 ,76-392061,Nabatieh,1,Female,Al Najda,brenda.smith@gmail.com,11
Tyler Martin,General Surgeon,$579 ,81-991327,Beirut,1,Male,Najjar,tyler.martin@gmail.com,10
Stephanie Thompson,Neurosurgeon,$613 ,71-932566,Nabatieh,5,Female,Hammoud Hospital,stephanie.thompson@gmail.com,27
Michael Rogers,Vascular Surgeon,$662 ,76-918563,Aley,0,Male,Mount Lebanon,michael.rogers@gmail.com,30
Megan Love,General Surgeon,$955 ,71-959147,Tyre,6,Female,General Hospital,megan.love@gmail.com,28
Veronica Smith,Urologic Surgeon,$318 ,71-336375,Aley,10,Female,Aley Medical Center,veronica.smith@gmail.com,16
Robert Kane,Plastic Surgeon,$355 ,81-203069,Nabatieh,2,Male,Hammoud Hospital,robert.kane@gmail.com,4
Robert Ford,Vascular Surgeon,$304 ,81-271747,Tyre,7,Male,General Hospital,robert.ford@gmail.com,12
Nathaniel Fritz,Pediatric Surgeon,"$1,056 ",76-650135,Tyre,6,Female,General Hospital,nathaniel.fritz@gmail.com,35
Brian Long,Vascular Surgeon,$898 ,71-751337,Jounieh,10,Male,General Hospital,brian.long@gmail.com,34
Leslie Conrad,Pediatric Surgeon,$746 ,71-851306,Baalbek,7,Female,Dar El Amal,leslie.conrad@gmail.com,32
Jonathan Davis,Neurosurgeon,"$1,473 ",71-201246,Sidon,7,Male,General Hospital,jonathan.davis@gmail.com,35
Tanner Ferguson,Neurosurgeon,$712 ,76-818128,Byblos,10,Male,Notre Dame de Secours,tanner.ferguson@gmail.com,21
Brent Rivera,Pediatric Surgeon,$747 ,76-354670,Zahle,6,Male,General Hospital,brent.rivera@gmail.com,19
Nathan Singh,General Surgeon,$965 ,71-732113,Byblos,0,Male,Saint Georges,nathan.singh@gmail.com,5
Jennifer Nelson,Pediatric Surgeon,"$1,317 ",71-180886,Sidon,1,Female,General Hospital,jennifer.nelson@gmail.com,10
Bobby James,Neurosurgeon,"$1,403 ",81-614973,Jounieh,0,Male,General Hospital,bobby.james@gmail.com,2
Leslie Matthews,Vascular Surgeon,$509 ,71-905742,Sidon,2,Female,General Hospital,leslie.matthews@gmail.com,27
Claire Romero,General Surgeon,"$1,226 ",71-218076,Sidon,9,Female,General Hospital,claire.romero@gmail.com,16
Michelle Wallace,Pediatric Surgeon,"$1,185 ",81-788483,Beirut,0,Male,Najjar,michelle.wallace@gmail.com,7
Sheri Parker,Vascular Surgeon,"$1,418 ",71-416427,Beirut,9,Female,CMC,sheri.parker@gmail.com,5
Jennifer Nelson,Cardiothoracic Surgeon,$780 ,71-403180,Nabatieh,8,Female,Hammoud Hospital,jennifer.nelson@gmail.com,10
Jason Yoder,Orthopedic Surgeon,"$1,343 ",76-373234,Sidon,3,Male,General Hospital,jason.yoder@gmail.com,22
Christopher Miller,Pediatric Surgeon,$575 ,81-291188,Tripoli,10,Male,General Hospital,christopher.miller@gmail.com,10
Brandon Cruz,Vascular Surgeon,"$1,202 ",76-340884,Nabatieh,8,Male,Hammoud Hospital,brandon.cruz@gmail.com,23
Dawn Carr,Cardiothoracic Surgeon,$310 ,71-285107,Sidon,10,Male,General Hospital,dawn.carr@gmail.com,12
Kathleen Reese,General Surgeon,"$1,490 ",71-962579,Nabatieh,9,Female,Hammoud Hospital,kathleen.reese@gmail.com,14
Debra Gonzalez,Vascular Surgeon,$398 ,81-135009,Aley,4,Female,Aley Medical Center,debra.gonzalez@gmail.com,8
Angela Miller,Cardiothoracic Surgeon,"$1,390 ",76-374446,Jounieh,3,Female,General Hospital,angela.miller@gmail.com,7
Janet Jones,Plastic Surgeon,"$1,197 ",71-628472,Beirut,2,Female,AUBMC,janet.jones@gmail.com,15
David Tucker,Neurosurgeon,$538 ,81-585765,Aley,2,Male,Aley Medical Center,david.tucker@gmail.com,19
James Petty,Pediatric Surgeon,"$1,483 ",76-750379,Tyre,0,Male,General Hospital,james.petty@gmail.com,29
Shannon Hamilton,Vascular Surgeon,$495 ,81-981807,Beirut,9,Male,CMC,shannon.hamilton@gmail.com,6
Daisy Mcmahon,Pediatric Surgeon,"$1,086 ",71-996524,Tyre,9,Female,General Hospital,daisy.mcmahon@gmail.com,20
Melanie Miller,General Surgeon,$484 ,81-571407,Tripoli,2,Female,General Hospital,melanie.miller@gmail.com,22
Lisa Nguyen,Pediatric Surgeon,"$1,304 ",71-367962,Baalbek,8,Female,Al Zahraa,lisa.nguyen@gmail.com,31
Mary Jordan,General Surgeon,"$1,431 ",76-807475,Tyre,5,Female,General Hospital,mary.jordan@gmail.com,6
Joshua Phillips,General Surgeon,"$1,359 ",81-429815,Nabatieh,0,Male,Hammoud Hospital,joshua.phillips@gmail.com,35
Mary Velasquez,Orthopedic Surgeon,"$1,308 ",71-293228,Tyre,9,Female,General Hospital,mary.velasquez@gmail.com,28
Michael Lam,Pediatric Surgeon,$916 ,81-413536,Aley,3,Male,Mount Lebanon,michael.lam@gmail.com,9
Christina Garcia,Pediatric Surgeon,$977 ,71-395335,Zahle,7,Female,General Hospital,christina.garcia@gmail.com,23
Benjamin Hubbard,Vascular Surgeon,$356 ,76-923302,Zahle,2,Male,General Hospital,benjamin.hubbard@gmail.com,29
Bridget Luna,General Surgeon,$495 ,76-997991,Nabatieh,0,Female,Hammoud Hospital,bridget.luna@gmail.com,10
Gina Phillips,Neurosurgeon,$712 ,76-787775,Tyre,9,Female,General Hospital,gina.phillips@gmail.com,21
Donna Lee,Oncologic Surgeon,$845 ,81-111340,Tyre,3,Female,General Hospital,donna.lee@gmail.com,31
Michelle Duran,Vascular Surgeon,$354 ,71-755118,Tripoli,10,Male,General Hospital,michelle.duran@gmail.com,19
Karen Johnson,Oncologic Surgeon,$607 ,81-974249,Tripoli,3,Female,General Hospital,karen.johnson@gmail.com,25
Catherine Collins,Neurosurgeon,$910 ,71-213453,Jounieh,8,Female,General Hospital,catherine.collins@gmail.com,33
Michael Daniels,Urologic Surgeon,"$1,373 ",76-294075,Zahle,8,Male,General Hospital,michael.daniels@gmail.com,22
Amber Roberts,General Surgeon,"$1,381 ",81-917674,Aley,10,Female,Mount Lebanon,amber.roberts@gmail.com,16
Laura Meyer,Oncologic Surgeon,$340 ,76-721148,Tyre,6,Female,General Hospital,laura.meyer@gmail.com,18
Gary Weeks,General Surgeon,$699 ,81-776127,Beirut,8,Male,Najjar,gary.weeks@gmail.com,35
Robert Rodriguez,Urologic Surgeon,$669 ,81-842006,Aley,5,Male,Mount Lebanon,robert.rodriguez@gmail.com,21
Matthew Werner,Pediatric Surgeon,$532 ,81-464221,Zahle,7,Male,General Hospital,matthew.werner@gmail.com,26
Diane Hayes,Neurosurgeon,"$1,317 ",76-148396,Zahle,10,Female,General Hospital,diane.hayes@gmail.com,15
Amanda Lloyd,Urologic Surgeon,"$1,492 ",76-534644,Byblos,10,Female,Saint Georges,amanda.lloyd@gmail.com,2
Meredith Kelly,Pediatric Surgeon,"$1,249 ",76-377844,Tripoli,9,Female,General Hospital,meredith.kelly@gmail.com,7
Sara Chase,Plastic Surgeon,"$1,429 ",71-779108,Sidon,7,Female,General Hospital,sara.chase@gmail.com,19
Jonathan Alvarado,Oncologic Surgeon,"$1,014 ",81-941054,Nabatieh,10,Male,Al Najda,jonathan.alvarado@gmail.com,5
Patrick Jones,Oncologic Surgeon,"$1,325 ",71-893026,Sidon,7,Male,General Hospital,patrick.jones@gmail.com,24
Sandra Hernandez,Orthopedic Surgeon,"$1,113 ",81-182248,Sidon,3,Female,General Hospital,sandra.hernandez@gmail.com,12
Erin Bailey,General Surgeon,$895 ,76-560017,Zahle,8,Male,General Hospital,erin.bailey@gmail.com,27
Heather Miller,Urologic Surgeon,$401 ,76-885923,Beirut,1,Female,Najjar,heather.miller@gmail.com,29
Erica Thomas,Oncologic Surgeon,"$1,179 ",71-496140,Tyre,5,Female,General Hospital,erica.thomas@gmail.com,29
Taylor Gonzalez,Cardiothoracic Surgeon,$662 ,76-439951,Beirut,0,Male,AUBMC,taylor.gonzalez@gmail.com,32
Scott Ortega,Oncologic Surgeon,"$1,035 ",81-594083,Beirut,10,Male,CMC,scott.ortega@gmail.com,9
Mary Allen,Plastic Surgeon,"$1,281 ",76-212296,Zahle,9,v,General Hospital,mary.allen@gmail.com,31
Becky Hanna,Neurosurgeon,$960 ,81-636112,Tyre,2,Female,General Hospital,becky.hanna@gmail.com,34
Emily Vaughn,Cardiothoracic Surgeon,$434 ,76-158415,Tyre,1,Female,General Hospital,emily.vaughn@gmail.com,13
Louis Mooney,Vascular Surgeon,"$1,355 ",71-201851,Baalbek,0,Male,Dar El Amal,louis.mooney@gmail.com,26
Brett Edwards,Cardiothoracic Surgeon,$745 ,76-984402,Jounieh,3,Male,General Hospital,brett.edwards@gmail.com,18
Kelsey George,General Surgeon,$890 ,76-428776,Baalbek,10,Female,Dar El Amal,kelsey.george@gmail.com,18
Melissa Washington,Vascular Surgeon,$974 ,71-191305,Zahle,0,Female,General Hospital,melissa.washington@gmail.com,8
Alice Meyer,Plastic Surgeon,$493 ,71-449776,Nabatieh,0,Female,Al Najda,alice.meyer@gmail.com,12
Brooke Miller,Urologic Surgeon,$317 ,71-439366,Sidon,9,Male,General Hospital,brooke.miller@gmail.com,19
Thomas Dominguez,Orthopedic Surgeon,"$1,351 ",81-930814,Sidon,4,Male,General Hospital,thomas.dominguez@gmail.com,33
Jason Marquez,Vascular Surgeon,"$1,129 ",71-706291,Tripoli,5,Male,General Hospital,jason.marquez@gmail.com,18
Diana Smith,General Surgeon,$924 ,71-209836,Byblos,4,Female,Notre Dame de Secours,diana.smith@gmail.com,23
William Watson,General Surgeon,$350 ,76-280988,Zahle,1,Male,General Hospital,william.watson@gmail.com,14
Kathleen James,Plastic Surgeon,$466 ,71-512710,Byblos,7,Female,Saint Georges,kathleen.james@gmail.com,8
Jesse Underwood,Cardiothoracic Surgeon,$914 ,81-647227,Byblos,10,Male,Notre Dame de Secours,jesse.underwood@gmail.com,20
Kristen Kelly,Cardiothoracic Surgeon,$850 ,81-109124,Beirut,6,Female,Rafic Hariri,kristen.kelly@gmail.com,29
Daniel Thomas,Cardiothoracic Surgeon,$723 ,81-543650,Zahle,4,Male,General Hospital,daniel.thomas@gmail.com,8
Cody Walsh,Cardiothoracic Surgeon,"$1,190 ",71-585026,Sidon,5,Male,General Hospital,cody.walsh@gmail.com,25
Dana Davis,Neurosurgeon,$970 ,76-780120,Beirut,6,Female,Rafic Hariri,dana.davis@gmail.com,23
